"id","url","title","organicClicks90d","impressions90d","backlinks","relevance","quality","canibalization","decision","targetUrl","reason","approvedBy","implementedAt"
"6521","https://doble3d.cl/realidad-mixta-xr-industria-chilena/","Realidad mixta y XR: el nuevo estándar en la industria chilena","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6519","https://doble3d.cl/capacitacion-robotica-minera-aimmgm/","Capacitación en robótica minera: el llamado de AIMMGM","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6511","https://doble3d.cl/gemelos-digitales-mineria-chile/","Gemelos digitales: la revolución silenciosa de la minería chilena","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6508","https://doble3d.cl/ia-realidad-virtual-capacitacion-mineria/","IA y realidad virtual: el futuro de la capacitación en minería","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6500","https://doble3d.cl/codelco-aula-impulsa-40-realidad-virtual-mineria/","Codelco y el Aula 4.0: educación STEM con VR para la minería","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6498","https://doble3d.cl/codelco-aula-impulsa-40-mineria-futuro/","Codelco impulsa la minera del futuro con Aulas 4.0","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6496","https://doble3d.cl/nvidia-centros-de-datos-sin-agua-refrigeracion/","Nvidia quiere reducir a cero el uso de agua en centros de datos: cómo se reduciría el consumo","","","","medium","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6494","https://doble3d.cl/snapdragon-reality-elite-48-tops-xr-industrial/","Nuevo chip Snapdragon Reality Elite: 48 TOPS que transforman la XR industrial","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6492","https://doble3d.cl/precios-iphone-ipad-mac-2026-culpa-ia/","Por qué los iPhone, iPad y Mac subirán de precio en 2026 (y la culpa es de la IA)","","","","low","medium","","improve","","Fuera del nicho principal, pero sin métricas de 90 días no se permite retirar; requiere revisión manual.","",""
"6490","https://doble3d.cl/qualcomm-snapdragon-reality-elite-capacitacion-xr-mineria/","Qualcomm Snapdragon Reality Elite: un salto en chips XR para la capacitación industrial","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6482","https://doble3d.cl/snapdragon-reality-elite/","Snapdragon Reality Elite, nuevo procesador XR de Qualcomm para realidad virtual y realidad mixta","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6474","https://doble3d.cl/precios-chips-ia-suben-iphone-mac-2026/","¿Comprar iPhone ahora o esperar? La guerra por los chips de IA sube los precios","","","","low","medium","","improve","","Fuera del nicho principal, pero sin métricas de 90 días no se permite retirar; requiere revisión manual.","",""
"6406","https://doble3d.cl/realidad-mixta-mineria-capacitacion-industrial-2026/","Realidad mixta en minería: 3 noticias que transforman la capacitación","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6373","https://doble3d.cl/como-funciona-la-realidad-virtual-en-mineria/","¿Cómo funciona la realidad virtual en la minería?","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6372","https://doble3d.cl/que-es-la-capacitacion-realidad-virtual-mineria/","¿Qué es la capacitación con realidad virtual en minería?","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6328","https://doble3d.cl/realidad-inmersiva-capacitacion-industrial-minera/","Realidad inmersiva: la nueva frontera en la capacitación …","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6306","https://doble3d.cl/que-paso-con-claude-fable-5/","¿Qué pasó con Claude Fable 5?","","","","medium","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6258","https://doble3d.cl/tecnologia-explicada-en-simple-nvidia-windows-junio-2026/","NVIDIA, Windows y Switch 2: tecnología explicada en simple","","","","low","medium","","improve","","Fuera del nicho principal, pero sin métricas de 90 días no se permite retirar; requiere revisión manual.","",""
"6256","https://doble3d.cl/xr-empresarial-pico-ar-ia-junio-2026/","XR empresarial: Pico, AR e IA inmersiva","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6254","https://doble3d.cl/ia-xr-capacitacion-inmersiva-industrial-junio-2026/","IA y XR en la industria: 3 noticias para junio 2026","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6239","https://doble3d.cl/capacitacion-inmersiva-industrial-vr-ia-27-mayo-2026/","Capacitación inmersiva industrial: noticias de la semana","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6238","https://doble3d.cl/capacitacion-inmersiva-industrial-hitos-mayo-2026/","Capacitación inmersiva industrial: 3 hitos de mayo","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6224","https://doble3d.cl/capacitacion-inmersiva-industrial-vr-ia-mayo-2026/","Capacitación inmersiva industrial: VR e IA en 2026","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6220","https://doble3d.cl/capacitacion-inmersiva-industrial-avances-abril-2026/","Capacitación Inmersiva Industrial: Avances de Abril","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6218","https://doble3d.cl/capacitacion-inmersiva-industrial-abril-2026/","Capacitación inmersiva industrial: 3 hitos de abril 2026","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6213","https://doble3d.cl/capacitacion-inmersiva-industrial-vr-ia-mineria/","Capacitación inmersiva industrial: VR, IA y minería","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6150","https://doble3d.cl/core-doble-3d/","CORE: La Nueva Era de la Capacitación Industrial con Realidad Virtual","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6145","https://doble3d.cl/galaxy-xr-revolucione-la-capacitacion-minera-con-realidad-mixta-segura/","Galaxy XR: Revolucione la Capacitación Minera con Realidad Mixta Segura","","","","high","strong","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6137","https://doble3d.cl/revolucion-la-realidad-aumentada-industrial-con-webxr/","Realidad aumentada industrial con WebXR: potencia tu seguridad y eficiencia en minería","","","","high","strong","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6133","https://doble3d.cl/realidad-mixta-para-capacitacion-simulacion-imersiva-efectiva/","Simulaciones inmersivas vs. capacitaciones tradicionales.","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"6097","https://doble3d.cl/conduccion-autonoma-y-realidad-mixta-seguridad-y-eficiencia-en-la-industria-minera/","Conducción autónoma y realidad mixta: Seguridad y eficiencia en la industria minera","","","","high","strong","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6095","https://doble3d.cl/navegacion-quirurgica-en-realidad-mixta-precision-y-seguridad-en-cirugia-espinal/","Navegación quirúrgica en realidad mixta: precisión y seguridad en cirugía espinal","","","","low","medium","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6092","https://doble3d.cl/capacitacion-en-realidad-mixta-para-mineria-seguridad-y-eficiencia-garantizadas/","Capacitación en realidad mixta para minería: seguridad y eficiencia garantizadas","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"6082","https://doble3d.cl/capacitacion-inmersiva-en-mineria-mejora-la-seguridad-con-realidad-virtual/","Capacitación inmersiva en minería: mejora la seguridad con realidad virtual","","","","high","strong","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6077","https://doble3d.cl/controlador-streamvr-para-windows-mixed-reality-revolucione-la-capacitacion-minera/","Controlador StreamVR para Windows Mixed Reality: Revolucione la Capacitación Minera","","","","high","medium","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6052","https://doble3d.cl/gafas-inteligentes-asequibles-para-industria-seguridad-y-capacitacion-avanzada/","Gafas inteligentes asequibles para industria: seguridad y capacitación avanzada","","","","high","medium","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6044","https://doble3d.cl/innovacion-clave-para-capacitacion-minera-segura/","Casco de realidad mixta Vivo: innovación clave para capacitación minera segura","","","","high","strong","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6016","https://doble3d.cl/realidad-mixta-en-gestion-operativa/","Realidad mixta en gestión operativa: innovación y seguridad para minería","","","","high","medium","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6008","https://doble3d.cl/mejora-la-seguridad-y-eficiencia-minera/","Tren de alta velocidad Idaho: mejora la seguridad y eficiencia minera","","","","high","strong","","improve","","Sanear HTML del título; conservar URL y slug.","",""
"6000","https://doble3d.cl/seguridad-en-impresion-3d-para-industrias-de-alto-riesgo-guia-para-gerentes/","Seguridad en impresión 3D para industrias de alto riesgo: guía para gerentes.","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"5980","https://doble3d.cl/innovacion-clave-para-mineria-2025/","Dispositivos portátiles de realidad aumentada: innovación clave para minería 2025","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"5943","https://doble3d.cl/gafas-de-realidad-mixta-para-entrenamiento-vr-en-mineria-segura/","Gafas de realidad mixta para entrenamiento VR en minería segura","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"5874","https://doble3d.cl/con-la-realidad-aumentada-ya-no-es-un-problema/","¿Su mejor experto está en Alemania y su emergencia en una mina en Chile? Con la nueva Realidad Aumentada, ya no es un problema.","","","","medium","weak","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5712","https://doble3d.cl/aplicaciones-web/","Optimice su Entrenamiento: Conozca las Aplicaciones Web para Capacitación","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5454","https://doble3d.cl/realidad-mixta-industria-alimentaria/","Realidad Mixta: Revolucionando la Seguridad en la Industria Alimentaria para Reducir Accidentes","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5410","https://doble3d.cl/chile-se-suma-a-la-revolucion-inmersiva/","Capacitación en realidad virtual en Chile: la revolución inmersiva","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5376","https://doble3d.cl/gamificacion-capacitacion/","Desbloquea el Potencial de tu Equipo: Cómo la Gamificación Transforma la Capacitación Industrial para Mayor Compromiso y Retención","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"5254","https://doble3d.cl/avatares-ia-para-datos/","Innovación en la Capacitación: Cómo los Avatares de IA Están Transformando Las Industrias","","","","high","strong","","keep","","Relevante y con señales técnicas suficientes en el inventario público.","",""
"5172","https://doble3d.cl/visualizadores-3d-para-mineria/","Visualizadores 3D para Minería","","","","high","weak","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5094","https://doble3d.cl/avatares-con-inteligencia-artificial/","Avatares con Inteligencia Artificial: Un Aliado en la Capacitación Industrial","","","","high","weak","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5090","https://doble3d.cl/realidad-mixta-mineria-multiplayer/","¿Qué es y para qué sirve el Multiplayer en Realidad Virtual y Mixta?","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5086","https://doble3d.cl/inteligencia-artificial-en-aplicaciones/","¿Cuáles son las ventajas de integrar la inteligencia artificial en las aplicaciones?","","","","high","weak","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5083","https://doble3d.cl/escalabilidad-organica/","Escalabilidad orgánica en aplicaciones: La clave para un desarrollo sostenible","","","","medium","weak","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5080","https://doble3d.cl/soporte-en-desarrollos/","¿Por qué es importante el soporte postventa en los desarrollos tecnológicos?","","","","medium","weak","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5075","https://doble3d.cl/no-mas-plataformas/","Cuando trabajamos contigo, nos adaptamos a tu plataforma, no te vendemos una nueva","","","","medium","weak","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5053","https://doble3d.cl/realidad-virtual-mineria-interfaces/","¿Cómo llegamos a este punto en el diseño de aplicaciones e interfaces amigables para el usuario en realidad virtual para minería?","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
"5014","https://doble3d.cl/desarrollar-videos-3d/","Videos 3D para minería: capacitación visual para alto riesgo","","","","high","medium","","improve","","Revisar profundidad, fuentes, metadatos y enlazado antes de decidir consolidación.","",""
